#,Date,Open,Close
0,2018-07-31,1.66,1.66
1,2018-08-01,1.645,1.645
2,2018-08-02,1.585,1.585
3,2018-08-03,1.56,1.56
4,2018-08-06,1.56,1.56
5,2018-08-07,1.58,1.58
6,2018-08-08,1.55,1.55
7,2018-08-09,1.53,1.53
8,2018-08-10,1.5,1.5
9,2018-08-13,1.5,1.5
10,2018-08-14,1.465,1.465
11,2018-08-15,1.42,1.42
12,2018-08-16,1.42,1.42
13,2018-08-17,1.385,1.385
14,2018-08-20,1.365,1.365
15,2018-08-21,0.984,0.984
16,2018-08-22,0.978,0.978
17,2018-08-23,0.998,0.998
18,2018-08-24,1.0,1.095
19,2018-08-27,1.0,1.0
20,2018-08-28,1.0,1.0
21,2018-08-29,0.996,0.996
22,2018-08-30,0.994,0.994
23,2018-08-31,0.974,0.974
24,2018-09-03,0.948,0.948
25,2018-09-04,0.95,0.95
26,2018-09-05,0.888,0.888
27,2018-09-06,0.836,0.836
28,2018-09-07,0.832,0.832
29,2018-09-10,0.808,0.85
30,2018-09-11,0.8,0.8
31,2018-09-12,0.78,0.78
32,2018-09-13,0.756,0.756
33,2018-09-14,0.766,0.766
34,2018-09-17,0.83,0.83
35,2018-09-18,0.802,0.802
36,2018-09-19,0.788,0.788
37,2018-09-20,0.756,0.756
38,2018-09-21,0.75,0.75
39,2018-09-24,0.772,0.772
40,2018-09-25,0.808,0.808
41,2018-09-26,0.798,0.798
42,2018-09-27,0.802,0.802
43,2018-09-28,0.804,0.804
44,2018-10-01,0.798,0.798
45,2018-10-02,0.794,0.794
46,2018-10-04,0.736,0.736
47,2018-10-05,0.742,0.742
48,2018-10-08,0.756,0.756
49,2018-10-09,0.744,0.744
50,2018-10-10,0.748,0.748
51,2018-10-11,0.748,0.748
52,2018-10-12,0.738,0.738
53,2018-10-15,0.732,0.732
54,2018-10-16,0.732,0.732
55,2018-10-17,0.734,0.734
56,2018-10-18,0.836,0.836
57,2018-10-19,0.808,0.808
58,2018-10-22,0.88,0.88
59,2018-10-23,0.782,0.782
60,2018-10-24,0.768,0.768
61,2018-10-25,0.758,0.758
62,2018-10-26,0.754,0.754
63,2018-10-29,0.754,0.754
64,2018-10-30,0.754,0.754
65,2018-10-31,0.732,0.732
66,2018-11-01,0.696,0.696
67,2018-11-02,0.698,0.698
68,2018-11-05,0.67,0.67
69,2018-11-06,0.664,0.664
70,2018-11-07,0.654,0.654
71,2018-11-08,0.658,0.658
72,2018-11-09,0.668,0.668
73,2018-11-12,0.674,0.674
74,2018-11-13,0.672,0.672
75,2018-11-14,0.628,0.628
76,2018-11-15,0.55,0.55
77,2018-11-16,0.568,0.568
78,2018-11-19,0.483,0.483
79,2018-11-20,0.351,0.351
80,2018-11-21,0.356,0.356
81,2018-11-22,0.49,0.49
82,2018-11-23,0.632,0.674
83,2018-11-26,0.628,0.628
84,2018-11-27,0.574,0.574
85,2018-11-28,0.576,0.576
86,2018-11-29,0.564,0.564
87,2018-11-30,0.56,0.56
88,2018-12-03,0.542,0.542
89,2018-12-04,0.556,0.556
90,2018-12-05,0.538,0.538
91,2018-12-06,0.52,0.52
92,2018-12-07,0.486,0.486
93,2018-12-10,0.484,0.484
94,2018-12-11,0.467,0.467
95,2018-12-12,0.461,0.461
96,2018-12-13,0.466,0.466
97,2018-12-14,0.51,0.51
98,2018-12-17,0.522,0.522
99,2018-12-18,0.495,0.495
100,2018-12-19,0.576,0.576
101,2018-12-20,0.576,0.576
102,2018-12-21,0.546,0.546
103,2018-12-27,0.53,0.53
104,2018-12-28,0.53,0.538
105,2019-01-02,0.54,0.54
106,2019-01-03,0.55,0.55
107,2019-01-04,0.542,0.59
108,2019-01-07,0.538,0.538
109,2019-01-08,0.54,0.54
110,2019-01-09,0.546,0.546
111,2019-01-10,0.544,0.544
112,2019-01-11,0.542,0.542
113,2019-01-14,0.544,0.544
114,2019-01-15,0.54,0.54
115,2019-01-16,0.54,0.54
116,2019-01-17,0.544,0.544
117,2019-01-18,0.612,0.672
118,2019-01-21,0.596,0.596
119,2019-01-22,0.568,0.568
120,2019-01-23,0.554,0.554
121,2019-01-24,0.554,0.554
122,2019-01-25,0.576,0.576
123,2019-01-28,0.576,0.576
124,2019-01-29,0.692,0.692
125,2019-01-30,0.824,0.824
126,2019-01-31,0.824,0.824
127,2019-02-01,0.766,0.766
128,2019-02-04,0.83,0.83
129,2019-02-05,0.976,1.01
130,2019-02-06,0.994,0.994
131,2019-02-07,1.06,1.06
132,2019-02-08,1.325,1.93
133,2019-02-11,1.8,1.52
134,2019-02-12,1.35,1.28
135,2019-02-13,1.34,1.575
136,2019-02-14,1.485,1.3
137,2019-02-15,1.24,1.24
138,2019-02-18,1.22,1.22
139,2019-02-19,1.02,1.02
140,2019-02-20,1.295,1.295
141,2019-02-21,1.195,1.195
142,2019-02-22,1.195,1.195
143,2019-02-25,1.22,1.22
144,2019-02-26,1.175,1.175
145,2019-02-27,1.115,1.115
146,2019-02-28,1.07,1.07
147,2019-03-01,1.12,1.12
148,2019-03-04,1.14,1.14
149,2019-03-05,1.135,1.135
150,2019-03-06,1.13,1.13
151,2019-03-07,1.13,1.13
152,2019-03-08,1.1,1.1
153,2019-03-11,1.08,1.05
154,2019-03-12,1.045,1.045
155,2019-03-13,1.06,1.06
156,2019-03-14,1.05,1.05
157,2019-03-15,1.115,1.115
158,2019-03-18,1.11,1.11
159,2019-03-19,1.245,1.245
160,2019-03-20,1.21,1.21
161,2019-03-21,1.175,1.175
162,2019-03-22,1.195,1.195
163,2019-03-25,1.18,1.18
164,2019-03-26,1.17,1.17
165,2019-03-27,1.17,1.17
166,2019-03-28,1.135,1.135
167,2019-03-29,1.12,1.12
168,2019-04-01,1.104,1.104
169,2019-04-02,1.072,1.072
170,2019-04-03,1.108,1.108
171,2019-04-04,1.086,1.086
172,2019-04-05,1.078,1.078
173,2019-04-08,1.092,1.092
174,2019-04-09,1.074,1.074
175,2019-04-10,1.066,1.066
176,2019-04-11,1.1,1.1
177,2019-04-12,1.092,1.092
178,2019-04-15,1.072,1.072
179,2019-04-16,1.074,1.074
180,2019-04-17,1.086,1.086
181,2019-04-18,1.08,1.08
182,2019-04-23,1.072,1.072
183,2019-04-24,1.038,1.038
